,index,Interaction,Type,Importance
0,106,K X V,catcat,0.2362808708251318
1,170,K X TSpicy,catcont,0.20838577106270262
2,59,E X G,catcat,0.17252504931413157
3,199,V X TMeaty,catcont,0.14300816252406806
4,209,TSpicy X TMeaty,contcont,0.13797294849554964
5,206,Total X TMeaty,contcont,0.12030687009263616
6,191,S X TMeaty,catcont,0.11836217014639007
7,104,K X S,catcat,0.11573622975207544
8,168,K X Total,catcont,0.10771009004765178
9,131,S X V,catcat,0.08723871061160711
10,18,B X E,catcat,0.08094238173347174
11,181,P X TSweet,catcont,0.08035953467085473
12,147,C X TMeaty,catcont,0.07696081602398482
13,36,C X K,catcat,0.0755154137228461
14,72,F X K,catcat,0.07140243475522415
15,159,F X TMeaty,catcont,0.06957988693547476
16,184,R X Total,catcont,0.06928737080978951
17,179,O X TMeaty,catcont,0.0685535565019849
18,153,E X TSweet,catcont,0.06790103743665458
19,94,H X P,catcat,0.06551651579595694
20,116,O X R,catcat,0.06534434312033187
21,33,C X F,catcat,0.06469238835150953
22,95,H X R,catcat,0.06440074716741873
23,196,V X Total,catcont,0.06387094288480405
24,84,G X O,catcat,0.06224430964050042
25,10,A X P,catcat,0.061757125382095455
26,180,P X Total,catcont,0.06174187369413537
27,148,D X Total,catcont,0.06126884473259752
28,142,B X TSpicy,catcont,0.061243608248818755
29,85,G X P,catcat,0.060996953304799525
30,41,C X S,catcat,0.059166932267314815
31,177,O X TSweet,catcont,0.05820664025071983
32,64,E X P,catcat,0.05814280513741377
33,133,T X V,catcat,0.055182425197498865
34,58,E X F,catcat,0.054689060690863024
35,151,D X TMeaty,catcont,0.054025593062326176
36,29,B X V,catcat,0.05350603672701138
37,21,B X H,catcat,0.053335730471569455
38,91,H X K,catcat,0.05214479044998147
39,89,G X V,catcat,0.05209492158727608
40,203,W X TMeaty,catcont,0.05185623130101042
41,108,M X O,catcat,0.05182185282099225
42,30,B X W,catcat,0.05095874043538339
43,61,E X K,catcat,0.048338045027954885
44,198,V X TSpicy,catcont,0.04816922009280394
45,187,R X TMeaty,catcont,0.04794011689482925
46,100,K X M,catcat,0.04791864275569238
47,141,B X TSweet,catcont,0.04659070821317334
48,60,E X H,catcat,0.04591198766090342
49,87,G X S,catcat,0.04587312458745327
50,186,R X TSpicy,catcont,0.04561821417054738
